_id,perno,metadata_platform,metadata_write_ts,metadata_time_zone,metadata_write_local_dt_year,metadata_write_local_dt_month,metadata_write_local_dt_day,metadata_write_local_dt_hour,metadata_write_local_dt_minute,metadata_write_local_dt_second,metadata_write_local_dt_weekday,metadata_write_local_dt_timezone,metadata_write_fmt_time,tripno,data_source,data_ending_section,data_starting_section,data_enter_ts,data_enter_local_dt_year,data_enter_local_dt_month,data_enter_local_dt_day,data_enter_local_dt_hour,data_enter_local_dt_minute,data_enter_local_dt_second,data_enter_local_dt_weekday,data_enter_local_dt_timezone,data_enter_fmt_time,data_enter_loc_type,data_exit_ts,data_exit_local_dt_year,data_exit_local_dt_month,data_exit_local_dt_day,data_exit_local_dt_hour,data_exit_local_dt_minute,data_exit_local_dt_second,data_exit_local_dt_weekday,data_exit_local_dt_timezone,data_exit_fmt_time,data_exit_loc_type,data_duration,data_distance,data_enter_loc_longitude,data_enter_loc_latitude,data_exit_loc_longitude,data_exit_loc_latitude,data_distance_miles,enter_loc_geom_nrel,exit_loc_geom_nrel,enter_loc_geom_nrel_zipcode,exit_loc_geom_nrel_zipcode
5ffdf2ea52fd347238e9df87,960835ac-9d8a-421d-8b8a-bf816f8a4b92,server,,America/Los_Angeles,2021,1,12,,,,1,America/Los_Angeles,,5ffdf2ea52fd347238e9df77,SmoothedHighConfidenceMotion,5ffdf2ea52fd347238e9df79,5ffdf2ea52fd347238e9df83,,2021,1,12,,,,1,America/Denver,,Point,,2021,1,12,,,,1,America/Denver,,Point,4.381999969482422,8.679146190660159,,,,,0.005392969747636694,,,,
5ffdf2eca471daa14d7999db,c8b9fe22-86f8-449a-b64f-c18a8d20eefc,server,,America/Los_Angeles,2021,1,12,,,,1,America/Los_Angeles,,5ffdf2eca471daa14d7999b8,SmoothedHighConfidenceMotion,5ffdf2eca471daa14d7999b9,5ffdf2eca471daa14d7999cf,,2021,1,12,,,,1,America/Denver,,Point,,2021,1,12,,,,1,America/Denver,,Point,0.0,0.0,,,,,0.0,,,,
5ffe1d40c03fdef33e7e51ce,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,12,,,,1,America/Los_Angeles,,5ffe1d3fc03fdef33e7e519d,SmoothedHighConfidenceMotion,5ffe1d40c03fdef33e7e519f,5ffe1d40c03fdef33e7e51c5,,2021,1,12,,,,1,America/Denver,,Point,,2021,1,12,,,,1,America/Denver,,Point,3.9999632835388175,1.0745357810298841,,,,,0.00066768537279432,,,,
5ffe2b733db1dd55977663c2,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,12,,,,1,America/Los_Angeles,,5ffe2b723db1dd5597766385,SmoothedHighConfidenceMotion,5ffe2b723db1dd5597766387,5ffe2b723db1dd55977663a2,,2021,1,12,,,,1,America/Denver,,Point,,2021,1,12,,,,1,America/Denver,,Point,0.999990701675415,22.403149557986236,,,,,0.013920667443995465,,,,
5ffe2b733db1dd55977663c3,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,12,,,,1,America/Los_Angeles,,5ffe2b723db1dd5597766385,SmoothedHighConfidenceMotion,5ffe2b723db1dd55977663a2,5ffe2b733db1dd55977663ba,,2021,1,12,,,,1,America/Denver,,Point,,2021,1,12,,,,1,America/Denver,,Point,6.9999260902404785,2.67243402103787,,,,,0.0016605730000863225,,,,
5ffe47463fdb05bd063ffc50,5079bb93-c9cf-46d7-a643-dfc86bb05605,server,,America/Los_Angeles,2021,1,12,,,,1,America/Los_Angeles,,5ffe47453fdb05bd063ffc1f,SmoothedHighConfidenceMotion,5ffe47463fdb05bd063ffc21,5ffe47463fdb05bd063ffc49,,2021,1,12,,,,1,America/Denver,,Point,,2021,1,12,,,,1,America/Denver,,Point,64.89900016784668,15.258126711998456,,,,,0.009480957453161193,,,,
5ffe6370f1a90009ad145d3f,5079bb93-c9cf-46d7-a643-dfc86bb05605,server,,America/Los_Angeles,2021,1,12,,,,1,America/Los_Angeles,,5ffe6370f1a90009ad145d19,SmoothedHighConfidenceMotion,5ffe6370f1a90009ad145d1b,5ffe6370f1a90009ad145d2e,,2021,1,12,,,,1,America/Denver,,Point,,2021,1,12,,,,1,America/Denver,,Point,0.0,0.0,,,,,0.0,,,,
5ffefe39afe0c4e59f8eb341,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,13,,,,2,America/Los_Angeles,,5ffefe38afe0c4e59f8eb315,SmoothedHighConfidenceMotion,5ffefe38afe0c4e59f8eb316,5ffefe39afe0c4e59f8eb337,,2021,1,13,,,,2,America/Denver,,Point,,2021,1,13,,,,2,America/Denver,,Point,2.999995470046997,1.7361928616709534,,,,,0.001078819894649342,,,,
5fff528ab756a8120c833cff,c8b9fe22-86f8-449a-b64f-c18a8d20eefc,server,,America/Los_Angeles,2021,1,13,,,,2,America/Los_Angeles,,5fff528ab756a8120c833c1d,SmoothedHighConfidenceMotion,5fff528ab756a8120c833c1f,5fff528ab756a8120c833cd9,,2021,1,13,,,,2,America/Denver,,Point,,2021,1,13,,,,2,America/Denver,,Point,515.0863261222838,8.466227409535874,,,,,0.005260668191690715,,,,
5fff6e96c942666838055fb6,5079bb93-c9cf-46d7-a643-dfc86bb05605,server,,America/Los_Angeles,2021,1,13,,,,2,America/Los_Angeles,,5fff6e96c942666838055f8d,SmoothedHighConfidenceMotion,5fff6e96c942666838055f8f,5fff6e96c942666838055fb1,,2021,1,13,,,,2,America/Denver,,Point,,2021,1,13,,,,2,America/Denver,,Point,30.062999963760376,86.32445409423393,,,,,0.053639512364988234,,,,
5fff6eb6ee0ecf17901fbdfd,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,13,,,,2,America/Los_Angeles,,5fff6eb5ee0ecf17901fbd79,SmoothedHighConfidenceMotion,5fff6eb6ee0ecf17901fbd7b,5fff6eb6ee0ecf17901fbd96,,2021,1,13,,,,2,America/Denver,,Point,,2021,1,13,,,,2,America/Denver,,Point,0.9999966621398926,4.5600952350024215,,,,,0.0028335109362686893,,,,
5fff6eb6ee0ecf17901fbdfe,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,13,,,,2,America/Los_Angeles,,5fff6eb5ee0ecf17901fbd79,SmoothedHighConfidenceMotion,5fff6eb6ee0ecf17901fbd96,5fff6eb6ee0ecf17901fbdc2,,2021,1,13,,,,2,America/Denver,,Point,,2021,1,13,,,,2,America/Denver,,Point,2.999955892562866,1.0563109994622035,,,,,0.0006563610220468287,,,,
5fff99085b153aa3f502d279,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,13,,,,2,America/Los_Angeles,,5fff99085b153aa3f502d255,SmoothedHighConfidenceMotion,5fff99085b153aa3f502d257,5fff99085b153aa3f502d26f,,2021,1,13,,,,2,America/Denver,,Point,,2021,1,13,,,,2,America/Denver,,Point,2.9999961853027344,2.105908614602981,,,,,0.001308550541764469,,,,
5fffa6db2b927607cb0d287e,1044195f-af9e-43d4-9407-60594e5e9938,server,,America/Los_Angeles,2021,1,13,,,,2,America/Los_Angeles,,5fffa6da2b927607cb0d2843,SmoothedHighConfidenceMotion,5fffa6db2b927607cb0d2845,5fffa6db2b927607cb0d2871,,2021,1,13,,,,2,America/Denver,,Point,,2021,1,13,,,,2,America/Denver,,Point,16.0,5.979146016122585,,,,,0.0037152679391841063,,,,
5fffb4e773d91f6fbeecb3a5,1044195f-af9e-43d4-9407-60594e5e9938,server,,America/Los_Angeles,2021,1,13,,,,2,America/Los_Angeles,,5fffb4e773d91f6fbeecb34f,SmoothedHighConfidenceMotion,5fffb4e773d91f6fbeecb351,5fffb4e773d91f6fbeecb35f,,2021,1,13,,,,2,America/Denver,,Point,,2021,1,13,,,,2,America/Denver,,Point,15.0,2.505763205761793,,,,,0.0015570085889274109,,,,
60006be5dafe7696d6f5f242,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,14,,,,3,America/Los_Angeles,,60006be3dafe7696d6f5f17d,SmoothedHighConfidenceMotion,60006be5dafe7696d6f5f17f,60006be5dafe7696d6f5f232,,2021,1,14,,,,3,America/Denver,,Point,,2021,1,14,,,,3,America/Denver,,Point,0.9999949932098388,2.4033674533400293,,,,,0.0014933828378493473,,,,
60007a087d74910084a62358,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,14,,,,3,America/Los_Angeles,,60007a077d74910084a6230e,SmoothedHighConfidenceMotion,60007a077d74910084a62310,60007a087d74910084a62331,,2021,1,14,,,,3,America/Denver,,Point,,2021,1,14,,,,3,America/Denver,,Point,3.0000290870666504,1.1019934439574883,,,,,0.0006847467682653085,,,,
60007a087d74910084a62359,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,14,,,,3,America/Los_Angeles,,60007a077d74910084a6230e,SmoothedHighConfidenceMotion,60007a087d74910084a62331,60007a087d74910084a6234e,,2021,1,14,,,,3,America/Denver,,Point,,2021,1,14,,,,3,America/Denver,,Point,1.0000061988830566,1.2170026726115022,,,,,0.0007562101676832818,,,,
600087ebccaa906e618084a4,c8b9fe22-86f8-449a-b64f-c18a8d20eefc,server,,America/Los_Angeles,2021,1,14,,,,3,America/Los_Angeles,,600087eaccaa906e61808436,SmoothedHighConfidenceMotion,600087ebccaa906e61808437,600087ebccaa906e6180844f,,2021,1,14,,,,3,America/Denver,,Point,,2021,1,14,,,,3,America/Denver,,Point,0.0,0.0,,,,,0.0,,,,
6000a417028cb92408f6c33d,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,14,,,,3,America/Los_Angeles,,6000a416028cb92408f6c28b,SmoothedHighConfidenceMotion,6000a416028cb92408f6c28d,6000a417028cb92408f6c330,,2021,1,14,,,,3,America/Denver,,Point,,2021,1,14,,,,3,America/Denver,,Point,0.0,0.0,,,,,0.0,,,,
6000c05c3865e7e5b270d7ee,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,14,,,,3,America/Los_Angeles,,6000c05c3865e7e5b270d79d,SmoothedHighConfidenceMotion,6000c05c3865e7e5b270d79f,6000c05c3865e7e5b270d7d7,,2021,1,14,,,,3,America/Denver,,Point,,2021,1,14,,,,3,America/Denver,,Point,0.0,0.0,,,,,0.0,,,,
6000c05c3865e7e5b270d7ef,113aef67-400e-4e21-a29f-d04e50fc42ea,server,,America/Los_Angeles,2021,1,14,,,,3,America/Los_Angeles,,6000c05c3865e7e5b270d79d,SmoothedHighConfidenceMotion,6000c05c3865e7e5b270d7d7,6000c05c3865e7e5b270d7e3,,2021,1,14,,,,3,America/Denver,,Point,,2021,1,14,,,,3,America/Denver,,Point,4.000021457672118,2.6755627326794187,,,,,0.001662517090767743,,,,
